GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44007010102,44007010102,"Census Tract 101.02, Providence County, Rhode Island",3546,199,10,13,122,83,83,59,165,98,267,168,59,44,2840,259
1400000US44007010200,44007010200,"Census Tract 102, Providence County, Rhode Island",6906,517,178,121,697,435,568,352,300,186,489,285,339,249,4335,512
1400000US44007010300,44007010300,"Census Tract 103, Providence County, Rhode Island",4197,497,138,117,260,152,266,164,114,78,245,137,24,22,3150,596
1400000US44007010400,44007010400,"Census Tract 104, Providence County, Rhode Island",6595,462,435,374,378,173,418,248,496,275,423,286,55,67,4390,491
1400000US44007010501,44007010501,"Census Tract 105.01, Providence County, Rhode Island",4444,305,271,148,451,218,119,104,126,90,255,129,208,189,3014,409
1400000US44007010502,44007010502,"Census Tract 105.02, Providence County, Rhode Island",4471,276,111,88,161,104,90,76,178,149,269,153,160,141,3502,310
1400000US44007010600,44007010600,"Census Tract 106, Providence County, Rhode Island",5793,481,285,235,432,198,511,373,351,204,417,199,63,62,3734,494
1400000US44007010701,44007010701,"Census Tract 107.01, Providence County, Rhode Island",2308,195,9,15,164,114,63,42,5,14,97,54,135,121,1835,205
1400000US44007010702,44007010702,"Census Tract 107.02, Providence County, Rhode Island",4165,187,95,73,281,178,50,52,99,72,319,194,33,31,3288,276
1400000US44007010800,44007010800,"Census Tract 108, Providence County, Rhode Island",4152,528,481,218,873,253,438,221,659,285,321,234,120,115,1260,356
1400000US44007010900,44007010900,"Census Tract 109, Providence County, Rhode Island",4895,626,415,178,874,433,186,109,300,237,716,300,394,375,2010,483
1400000US44007011000,44007011000,"Census Tract 110, Providence County, Rhode Island",5353,484,582,283,949,327,302,232,656,329,505,273,313,211,2046,408
1400000US44007011100,44007011100,"Census Tract 111, Providence County, Rhode Island",4574,644,977,431,613,269,258,162,157,161,622,380,65,70,1882,488
1400000US44007011200,44007011200,"Census Tract 112, Providence County, Rhode Island",5427,335,32,26,522,297,148,115,143,108,386,340,324,273,3872,432
1400000US44007011301,44007011301,"Census Tract 113.01, Providence County, Rhode Island",4404,333,105,90,229,213,23,31,115,78,191,88,139,99,3602,303
1400000US44007011302,44007011302,"Census Tract 113.02, Providence County, Rhode Island",4031,219,91,103,24,21,29,29,14,15,178,109,0,13,3695,231
1400000US44007011401,44007011401,"Census Tract 114.01, Providence County, Rhode Island",7906,348,108,84,68,50,341,276,267,154,268,173,186,182,6668,381
1400000US44007011402,44007011402,"Census Tract 114.02, Providence County, Rhode Island",4133,190,35,28,29,38,31,36,100,110,269,273,19,31,3650,336
1400000US44007011403,44007011403,"Census Tract 114.03, Providence County, Rhode Island",7412,318,129,102,142,81,121,87,45,40,346,261,82,82,6547,419
1400000US44007011500,44007011500,"Census Tract 115, Providence County, Rhode Island",5910,426,182,132,338,248,346,375,149,161,367,309,92,94,4436,509
1400000US44007011600,44007011600,"Census Tract 116, Providence County, Rhode Island",6177,295,44,43,90,81,53,45,225,181,90,76,82,80,5593,352
1400000US44007011701,44007011701,"Census Tract 117.01, Providence County, Rhode Island",4688,349,173,243,214,117,89,68,0,13,234,159,90,83,3888,345
1400000US44007011702,44007011702,"Census Tract 117.02, Providence County, Rhode Island",4209,335,45,39,69,48,99,73,62,42,79,58,9,14,3846,369
1400000US44007011800,44007011800,"Census Tract 118, Providence County, Rhode Island",6483,477,453,341,392,188,97,61,314,267,488,313,142,146,4597,542
1400000US44007011901,44007011901,"Census Tract 119.01, Providence County, Rhode Island",3031,315,160,116,275,200,20,22,99,92,405,192,13,22,2059,407
1400000US44007011902,44007011902,"Census Tract 119.02, Providence County, Rhode Island",4761,353,84,63,191,146,115,89,127,88,415,263,116,110,3713,421
1400000US44007012000,44007012000,"Census Tract 120, Providence County, Rhode Island",6228,377,216,126,131,176,149,165,116,94,692,316,64,55,4860,458
1400000US44007012102,44007012102,"Census Tract 121.02, Providence County, Rhode Island",4093,359,170,100,538,319,311,267,144,136,144,69,273,219,2513,445
1400000US44007012103,44007012103,"Census Tract 121.03, Providence County, Rhode Island",2772,342,32,32,154,96,200,124,262,117,151,143,39,46,1934,399
1400000US44007012104,44007012104,"Census Tract 121.04, Providence County, Rhode Island",4324,282,191,182,439,177,107,90,119,92,369,186,84,68,3015,348
1400000US44007012200,44007012200,"Census Tract 122, Providence County, Rhode Island",7208,423,302,209,185,142,49,38,358,328,223,145,176,158,5915,548
1400000US44007012300,44007012300,"Census Tract 123, Providence County, Rhode Island",6469,449,275,188,259,209,204,139,161,124,311,209,162,157,5097,587
1400000US44007012401,44007012401,"Census Tract 124.01, Providence County, Rhode Island",6884,539,190,110,95,76,166,94,283,170,622,361,104,139,5424,622
1400000US44007012402,44007012402,"Census Tract 124.02, Providence County, Rhode Island",2863,539,12,19,68,60,108,131,157,133,147,108,24,37,2347,608
1400000US44007012500,44007012500,"Census Tract 125, Providence County, Rhode Island",4880,391,434,246,704,322,281,133,187,130,468,336,131,125,2675,400
1400000US44007012601,44007012601,"Census Tract 126.01, Providence County, Rhode Island",1635,116,22,25,19,13,5,8,0,13,27,28,59,51,1503,103
1400000US44007012602,44007012602,"Census Tract 126.02, Providence County, Rhode Island",6616,348,139,84,139,100,367,265,301,203,223,194,102,88,5345,492
1400000US44007012701,44007012701,"Census Tract 127.01, Providence County, Rhode Island",5098,397,24,29,79,67,172,187,114,78,110,103,52,51,4547,462
1400000US44007012702,44007012702,"Census Tract 127.02, Providence County, Rhode Island",4661,221,122,108,128,75,53,36,89,67,103,79,81,73,4085,271
1400000US44007012801,44007012801,"Census Tract 128.01, Providence County, Rhode Island",3980,254,66,94,108,86,12,19,34,33,146,93,107,80,3507,322
1400000US44007012802,44007012802,"Census Tract 128.02, Providence County, Rhode Island",2398,159,40,38,112,79,28,24,73,51,67,45,67,97,2011,165
1400000US44007012803,44007012803,"Census Tract 128.03, Providence County, Rhode Island",5099,291,74,61,115,107,16,22,88,87,103,71,38,43,4665,291
