GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US440070001014012,440070001014012,"Block 4012, Block Group 4, Census Tract 1.01, Providence County, Rhode Island",45
1000000US440070001021000,440070001021000,"Block 1000, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001021001,440070001021001,"Block 1001, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",74
1000000US440070001021002,440070001021002,"Block 1002, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",64
1000000US440070001021003,440070001021003,"Block 1003, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",103
1000000US440070001021004,440070001021004,"Block 1004, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",62
1000000US440070001021005,440070001021005,"Block 1005, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",61
1000000US440070001021006,440070001021006,"Block 1006, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",86
1000000US440070001021007,440070001021007,"Block 1007, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",39
1000000US440070001021008,440070001021008,"Block 1008, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",47
1000000US440070001021009,440070001021009,"Block 1009, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",80
1000000US440070001021010,440070001021010,"Block 1010, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",8
1000000US440070001021011,440070001021011,"Block 1011, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001021012,440070001021012,"Block 1012, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",89
1000000US440070001021013,440070001021013,"Block 1013, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",118
1000000US440070001021014,440070001021014,"Block 1014, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",53
1000000US440070001021015,440070001021015,"Block 1015, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",134
1000000US440070001021016,440070001021016,"Block 1016, Block Group 1, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022000,440070001022000,"Block 2000, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",174
1000000US440070001022001,440070001022001,"Block 2001, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",204
1000000US440070001022002,440070001022002,"Block 2002, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",105
1000000US440070001022003,440070001022003,"Block 2003, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",235
1000000US440070001022004,440070001022004,"Block 2004, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",189
1000000US440070001022005,440070001022005,"Block 2005, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",140
